Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;85775;112678;  0:01.945;  0:02.555;false;indoors;padel_53.mp4
racket;1;137696;168317;  0:03.122;  0:03.816;false;;
racket;2;178649;198887;  0:04.051;  0:04.509;false;;
racket;1;233571;253377;  0:05.296;  0:05.745;false;;
racket;2;607345;633164;  0:13.772;  0:14.357;false;;
racket;1;671936;696076;  0:15.236;  0:15.784;false;;
racket;2;710539;734969;  0:16.112;  0:16.665;false;;
racket;1;789601;803835;  0:17.904;  0:18.227;false;;
racket;2;866036;888222;  0:19.638;  0:20.141;false;;
racket;1;918247;934499;  0:20.821;  0:21.190;false;;
racket;2;959792;981936;  0:21.764;  0:22.266;false;;
racket;1;1013959;1039408;  0:22.992;  0:23.569;false;;
racket;2;1043847;1079036;  0:23.670;  0:24.467;false;;
racket;1;1138627;1160591;  0:25.819;  0:26.317;false;;
racket;2;1227038;1247793;  0:27.824;  0:28.294;false;;
grid;1;1276341;1310694;  0:28.941;  0:29.720;false;;
racket;1;1429413;1452304;  0:32.413;  0:32.932;false;;
racket;2;1790232;1808931;  0:40.594;  0:41.018;false;;
net;2;1809732;1833799;  0:41.037;  0:41.582;false;;
racket;2;2066768;2091417;  0:46.865;  0:47.424;false;;
racket;1;2115565;2141600;  0:47.972;  0:48.562;false;;
racket;2;2157659;2188607;  0:48.926;  0:49.628;false;;
racket;1;2204603;2227791;  0:49.991;  0:50.516;false;;
racket;2;2239332;2269516;  0:50.778;  0:51.462;false;;
racket;1;2301755;2337927;  0:52.194;  0:53.014;false;;
racket;2;2394369;2430230;  0:54.294;  0:55.107;false;;
