Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;27518;48522;  0:00.624;  0:01.100;true;indoors;padel_49.mp4
racket;1;79521;107851;  0:01.803;  0:02.445;true;;
racket;2;767957;784014;  0:17.414;  0:17.778;true;;
net;2;788057;803909;  0:17.869;  0:18.229;false;;
racket;2;907490;926354;  0:20.578;  0:21.005;true;;
racket;1;968775;990509;  0:21.967;  0:22.460;true;;
racket;2;1043274;1064366;  0:23.657;  0:24.135;true;;
racket;1;1130189;1144153;  0:25.627;  0:25.944;true;;
racket;2;1262230;1276156;  0:28.622;  0:28.937;true;;
racket;1;1316921;1349477;  0:29.862;  0:30.600;true;;
glass;2;1356781;1366251;  0:30.766;  0:30.980;false;;
racket;2;1985405;2001800;  0:45.020;  0:45.392;true;;
racket;1;2040772;2058336;  0:46.276;  0:46.674;true;;
racket;2;2092997;2112594;  0:47.460;  0:47.904;true;;
grid;1;2139379;2152803;  0:48.512;  0:48.816;false;;
racket;1;2159423;2178661;  0:48.966;  0:49.402;true;;
racket;2;2282396;2291105;  0:51.755;  0:51.952;true;;
grid;1;2503832;2515333;  0:56.776;  0:57.037;false;;
