Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;1;49422;71552;  0:01.120;  0:01.622;true;indoors;padel_51.mp4
racket;2;143898;153377;  0:03.263;  0:03.477;true;;
racket;1;171964;187658;  0:03.899;  0:04.255;true;;
racket;2;261732;269193;  0:05.934;  0:06.104;true;;
racket;1;338115;373746;  0:07.667;  0:08.474;true;;
racket;2;423509;430924;  0:09.603;  0:09.771;true;;
grid;2;448718;468216;  0:10.175;  0:10.617;false;;
racket;2;1064797;1084027;  0:24.145;  0:24.581;true;;
grid;1;1106513;1126094;  0:25.091;  0:25.535;false;;
racket;1;1130307;1147395;  0:25.630;  0:26.018;true;;
racket;2;1700761;1719321;  0:38.566;  0:38.986;true;;
racket;1;1754734;1772624;  0:39.789;  0:40.195;true;;
racket;2;1819963;1847619;  0:41.269;  0:41.896;true;;
racket;1;1908721;1923414;  0:43.281;  0:43.614;true;;
racket;2;1977532;1996613;  0:44.842;  0:45.274;true;;
racket;1;2069721;2089803;  0:46.932;  0:47.387;true;;
racket;2;2171881;2195190;  0:49.249;  0:49.777;true;;
racket;1;2210200;2218130;  0:50.117;  0:50.297;true;;
racket;2;2279353;2293937;  0:51.686;  0:52.016;true;;
racket;1;2367109;2378057;  0:53.675;  0:53.924;true;;
racket;2;2501881;2517692;  0:56.732;  0:57.090;true;;
