Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;388345;408013;  0:08.806;  0:09.252;true;indoors;padel_45.mp4
racket;1;445302;465460;  0:10.097;  0:10.554;true;;
racket;2;491847;513582;  0:11.153;  0:11.645;true;;
racket;1;526556;541035;  0:11.940;  0:12.268;true;;
racket;2;598084;610421;  0:13.562;  0:13.841;true;;
floor;1;694650;698473;  0:15.751;  0:15.838;false;;
racket;1;746878;759615;  0:16.936;  0:17.224;true;;
racket;2;786354;804786;  0:17.831;  0:18.249;true;;
racket;1;821936;835233;  0:18.638;  0:18.939;true;;
racket;2;861893;876610;  0:19.544;  0:19.877;true;;
racket;1;955691;970020;  0:21.671;  0:21.995;true;;
racket;2;1034752;1052682;  0:23.463;  0:23.870;true;;
racket;1;1134120;1148222;  0:25.717;  0:26.036;true;;
racket;2;1162480;1187500;  0:26.360;  0:26.927;true;;
racket;1;1207723;1225091;  0:27.386;  0:27.779;true;;
racket;2;1243020;1250813;  0:28.186;  0:28.363;true;;
racket;2;2331964;2355744;  0:52.879;  0:53.418;true;;
racket;1;2381923;2398422;0:54.011;  0:54.385;true;;
racket;2;2455620;2471171;  0:55.683;  0:56.035;true;;
racket;1;2515415;2531097;  0:57.038;  0:57.394;true;;
racket;2;2543953;2559563;  0:57.686;  0:58.040;true;;
