Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;539563;572025;  0:12.234;  0:12.971;true;inddors;padel_48.mp4
racket;1;590146;615376;  0:13.381;  0:13.954;true;;
racket;2;717551;744354;  0:16.270;  0:16.878;true;;
racket;1;754842;779524;  0:17.116;  0:17.676;true;;
racket;2;825596;849708;  0:18.720;  0:19.267;true;;
racket;1;947632;966994;  0:21.488;  0:21.927;true;;
racket;2;1081420;1100621;  0:24.521;  0:24.957;true;;
racket;1;1107886;1136026;  0:25.122;  0:25.760;true;;
racket;2;1227612;1243413;  0:27.837;  0:28.195;true;;
racket;1;1253939;1284173;  0:28.433;  0:29.119;true;;
racket;2;1350474;1362381;  0:30.622;  0:30.892;true;;
racket;1;1395436;1420173;  0:31.642;  0:32.203;true;;
racket;2;1446833;1469260;  0:32.808;  0:33.316;true;;
racket;1;1471896;1490075;  0:33.376;  0:33.788;true;;
racket;2;1960598;1981807;  0:44.458;  0:44.938;true;;
racket;1;2019793;2050092;  0:45.800;  0:46.487;true;;
racket;2;2061807;2085252;  0:46.752;  0:47.284;true;;
racket;1;2122272;2137955;  0:48.124;  0:48.479;true;;
racket;2;2190712;2213769;  0:49.676;  0:50.198;true;;
racket;1;2253218;2259606;  0:51.093;  0:51.238;true;;
racket;1;2265902;2280610;  0:51.380;  0:51.714;true;;
floor;2;2346458;2359541;  0:53.207;  0:53.504;false;;
