Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
self_warm_up;1;185759;201732;  0:04.212;  0:04.574;false;indoors;padel_42.mp4
self_warm_up;1;224337;239198;  0:05.087;  0:05.424;false;;
racket;1;327121;352652;  0:07.417;  0:07.996;true;;
racket;2;397914;422816;  0:09.023;  0:09.587;true;;
racket;1;506489;520149;  0:11.485;  0:11.794;true;;
net;1;520821;530095;  0:11.810;  0:12.020;false;;
self_warm_up;1;956617;976925;  0:21.692;  0:22.152;false;;
racket;1;1083668;1117107;  0:24.572;  0:25.331;true;;
racket;2;1140779;1174792;  0:25.868;  0:26.639;true;;
racket;1;1185290;1220575;  0:26.877;  0:27.677;true;;
racket;2;1259893;1268969;  0:28.569;  0:28.774;true;;
grid;2;1296239;1322180;  0:29.393;  0:29.981;false;;
self_warm_up;1;1419403;1434898;  0:32.186;  0:32.537;false;;
self_warm_up;1;1466890;1482000;  0:33.262;  0:33.605;false;;
self_warm_up;1;1507779;1523430;  0:34.190;  0:34.544;false;;
racket;1;1606908;1629138;  0:36.437;  0:36.941;true;;
racket;2;1658380;1696081;  0:37.605;  0:38.459;true;;
racket;1;1698285;1734908;  0:38.509;0:39.340;true;;
glass;2;1738819;1758211;  0:39.429;  0:39.868;false;;
racket;2;1796638;1833133;  0:40.740;  0:41.567;true;;
floor;1;1894757;1912699;  0:42.965;  0:43.371;false;;
floor;1;1923510;1947768;  0:43.617;  0:44.167;false;;
racket;1;2127384;2151603;  0:48.240;  0:48.789;true;;
