Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;165640;194943;  0:03.756;  0:04.420;true;indoors;padel_50.mp4
racket;2;366845;394308;  0:08.318;  0:08.941;true;;
racket;1;423228;449645;  0:09.597;  0:10.196;true;;
racket;2;495762;518300;  0:11.241;  0:11.752;true;;
racket;1;539519;557822;  0:12.233;  0:12.649;true;;
racket;2;576456;607720;  0:13.071;  0:13.780;true;;
racket;1;618106;629250;  0:14.016;  0:14.493;true;;
racket;2;706854;727758;  0:16.028;  0:16.502;true;;
racket;1;745775;767454;  0:16.910;  0:17.402;true;;
racket;2;791771;810081;  0:17.953;  0:18.369;true;;
racket;1;846191;872026;  0:19.188;  0:19.773;true;;
racket;2;888704;923447;  0:20.152;  0:20.939;true;;
racket;1;932450;953985;  0:21.143;  0:21.632;true;;
racket;2;1010478;1041883;  0:22.913;  0:23.625;true;;
racket;1;1068058;1096420;  0:24.219;  0:24.862;true;;
racket;2;1118583;1153708;  0:25.364;  0:26.161;true;;
racket;1;1162035;1186680;  0:26.350;  0:26.908;true;;
racket;2;1227333;1261861;  0:27.830;  0:28.613;true;;
racket;1;1282781;1311047;  0:29.088;  0:29.728;true;;
racket;2;1320975;1356875;  0:29.954;  0:30.768;true;;
racket;1;1364101;1399331;  0:30.931;  0:31.730;true;;
racket;2;2056258;2072878;  0:46.627;  0:47.295;true;;
racket;1;2104584;2139052;  0:47.722;  0:48.504;true;;
racket;2;2225630;2249999;  0:50.467;  0:51.020;true;;
racket;1;2307753;2348196;  0:52.330;  0:53.247;true;;
racket;2;2368858;2388123;  0:53.715;  0:54.335;true;;
racket;1;2462853;2495702;  0:55.847;  0:56.591;true;;
racket;2;2511798;2544640;  0:56.956;  0:57.701;true;;
racket;1;2549024;2559563;  0:57.800;  0:58.039;true;;
