Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;59967;78892;  0:01.359;  0:01.788;true;indoors;padel_55.mp4
racket;1;122245;147802;  0:02.772;  0:03.351;true;;
racket;2;156635;168624;  0:03.551;  0:03.823;true;;
grid;2;174897;213872;  0:03.965;  0:04.849;false;;
racket;1;570081;593977;  0:12.927;  0:13.468;true;;
racket;2;628574;650221;  0:14.253;  0:14.744;true;;
racket;1;696515;723901;  0:15.794;  0:16.415;true;;
grid;2;733969;744490;  0:16.643;  0:16.881;false;;
racket;1;1408495;1425969;  0:31.938;  0:32.334;true;;
racket;2;1472014;1492796;  0:33.379;  0:33.850;true;;
racket;1;1504925;1522982;  0:34.125;  0:34.534;true;;
grid;2;1581426;1632460;  0:35.860;  0:37.017;false;;
racket;1;1702067;1717771;  0:38.595;  0:38.951;true;;
glass;2;1755136;1774466;  0:39.799;  0:40.237;false;;
racket;1;2244410;2262825;  0:50.893;  0:51.311;true;;
racket;2;2305151;2326484;  0:52.271;  0:52.754;true;;
racket;1;2355934;2377327;  0:53.422;  0:53.907;true;;
racket;2;2403935;2426780;  0:54.511;  0:55.029;true;;
racket;1;2533072;2559564;  0:57.439;  0:58.039;true;;
