Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;181832;199316;  0:04.123;  0:04.519;true;indoors;padel_43.mp4
racket;1;239504;255937;  0:05.430;  0:05.803;true;;
racket;2;323033;341278;  0:07.325;  0:07.738;true;;
racket;1;386515;409170;  0:08.764;  0:09.278;true;;
racket;2;433238;459020;  0:09.824;  0:10.408;true;;
racket;1;484885;508703;  0:10.995;  0:11.535;true;;
racket;1;690827;710148;  0:15.665;  0:16.103;true;;
racket;2;722501;744608;  0:16.383;  0:16.884;true;;
racket;1;803943;814552;  0:18.230;  0:18.470;true;;
racket;2;861392;884284;  0:19.532;  0:20.051;true;;
racket;1;932980;939661;  0:21.156;  0:21.307;true;;
racket;2;986266;1012257;  0:22.364;  0:22.953;true;;
racket;1;1027795;1047135;  0:23.306;  0:23.744;true;;
racket;2;1070196;1092281;  0:24.267;  0:24.768;true;;
racket;1;1098575;1105766;  0:24.911;  0:25.074;true;;
racket;2;1869848;1890004;  0:42.400;  0:42.857;true;;
racket;1;1923422;1932877;  0:43.615;  0:43.829;true;;
racket;2;1998272;2019435;  0:45.312;  0:45.792;true;;
racket;1;2054002;2066892;  0:46.576;  0:46.868;true;;
racket;2;2093714;2113297;  0:47.476;  0:47.920;true;;
racket;1;2170734;2186562;  0:49.223;  0:49.581;true;;
racket;2;2205703;2224384;  0:50.015;  0:50.439;true;;
racket;1;2236223;2257142;  0:50.708;  0:51.182;true;;
grid;2;2294580;2348312;  0:52.031;  0:53.249;false;;
