Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
self_warm_up;1;230114;243723;  0:05.218;  0:05.526;false;indoors;padel_41.mp4
self_warm_up;1;415943;432567;  0:09.431;  0:09.808;false;;
floor;1;494493;507158;  0:11.213;  0:11.500;false;;
racket;1;510298;530368;  0:11.571;  0:12.026;true;;
net;1;531449;571142;  0:12.051;  0:12.951;false;;
racket;1;742861;760918;  0:16.844;  0:17.254;true;;
racket;2;811043;843857;  0:18.391;  0:19.135;true;;
racket;1;938845;978140;  0:21.289;  0:22.180;true;;
racket;2;1018315;1043751;  0:23.091;  0:23.667;true;;
glass;1;1045082;1071855;  0:23.698;  0:24.305;false;;
racket;1;1515011;1536374;  0:34.354;  0:34.838;true;;
racket;2;1570538;1600289;  0:35.613;  0:36.287;true;;
racket;1;1606298;1635388;  0:36.424;  0:37.083;true;;
grid;2;1649997;1668277;  0:37.414;  0:37.829;false;;
racket;1;1730616;1760100;0:39.243;  0:39.911;true;;
racket;2;1764000;1780442;  0:40.000;  0:40.372;true;;
racket;1;1816373;1851002;  0:41.187;  0:41.972;true;;
racket;2;1890788;1906347;  0:42.875;  0:43.227;true;;
floor;1;1948623;1959300;  0:44.186;  0:44.428;false;;
racket;1;2004610;2019812;  0:45.456;  0:45.800;true;;
racket;2;2157736;2178457;  0:48.928;  0:49.398;true;;
racket;1;2413152;2428034;  0:54.720;  0:55.057;true;;
