Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;388345;420604;;;true;indoors;padel_45.mp4
racket;1;445302;474423;  0:10.097;  0:10.757;true;;
racket;2;491847;523548;  0:11.152;  0:11.871;true;;
racket;1;526556;550430;  0:11.940;  0:12.481;true;;
racket;2;598084;619417;  0:13.561;  0:14.045;true;;
floor;1;694650;698473;  0:15.751;  0:15.838;false;;
racket;1;746878;762259;  0:16.936;  0:17.284;true;;
racket;2;786354;809631;  0:17.831;  0:18.358;true;;
racket;1;821936;839081;  0:18.638;  0:19.026;true;;
racket;2;861893;879767;  0:19.544;  0:19.949;true;;
racket;1;955691;976172;  0:21.670;  0:22.135;true;;
racket;2;1034752;1056679;  0:23.463;  0:23.960;true;;
racket;1;1134120;1148222;  0:25.717;  0:26.036;true;;
racket;2;1162480;1192441;  0:26.360;  0:27.039;true;;
racket;1;1207723;1225091;  0:27.386;  0:27.850;true;;
racket;2;1243020;1250813;  0:28.186;  0:28.363;true;;
racket;2;2331964;2369481;  0:52.879;  0:53.729;true;;
racket;1;2381923;2404848;  0:54.011;  0:54.531;true;;
racket;2;2455620;2481001;  0:55.682;  0:56.258;true;;
racket;1;2515415;2540694;  0:57.038;  0:57.612;true;;
racket;2;2543953;2559563;  0:57.686;  0:58.039;true;;
