Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;52952;75073;  0:01.200;  0:01.702;true;indoor;padel_60.mp4
racket;1;116868;138917;  0:02.650;  0:03.150;true;;
racket;2;171791;201450;  0:03.895;  0:04.568;true;;
racket;1;241882;263931;  0:05.484;  0:05.984;true;;
racket;2;316638;338700;  0:07.180;  0:07.680;true;;
glass;1;358204;380253;  0:08.122;  0:08.622;false;;
racket;2;783245;805294;  0:17.760;  0:18.260;true;;
racket;1;830124;852173;  0:18.823;  0:19.323;true;;
racket;2;898032;920081;  0:20.363;  0:20.863;true;;
glass;1;935386;957435;  0:21.210;  0:21.710;false;;
racket;1;962548;984597;  0:21.826;  0:22.326;true;;
racket;2;1379498;1401547;  0:31.281;  0:31.781;true;;
racket;1;1436424;1458473;  0:32.571;  0:33.071;true;;
racket;2;1472296;1494345;  0:33.385;  0:33.885;true;;
racket;1;1543856;1565905;  0:35.008;  0:35.508;true;;
racket;2;1811289;1833338;  0:41.072;  0:41.572;true;;
racket;1;1867611;1889660;  0:42.349;  0:42.849;true;;
racket;2;1909188;1931237;  0:43.292;  0:43.792;true;;
racket;1;1945942;1967991;  0:44.125;  0:44.625;true;;
racket;2;2021847;2043896;  0:45.846;  0:46.346;true;;
racket;1;2065014;2087063;  0:46.825;  0:47.325;true;;
racket;2;2157169;2179218;  0:48.915;  0:49.415;true;;
racket;1;2251761;2273810;  0:51.060;  0:51.560;true;;
racket;2;2292820;2314869;  0:51.991;  0:52.491;true;;
racket;1;2343460;2365509;  0:53.139;  0:53.639;true;;
racket;2;2384939;2406988;  0:54.080;  0:54.580;true;;
racket;1;2420693;2442742;  0:54.890;  0:55.390;true;;
racket;2;2485381;2485381;  0:55.857;  0:56.357;true;;
racket;1;2489191;2505695;  0:56.444;  0:56.818;true;;
