Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
glass;1;13715;32674;  0:00.311;  0:00.740;false;indoors;padel_56.mp4
racket;1;43263;61051;  0:00.981;  0:01.384;true;;
racket;2;186631;208079;  0:04.232;  0:04.718;true;;
racket;1;218336;245584;  0:04.950;  0:05.568;true;;
racket;2;250973;270567;  0:05.691;  0:06.135;true;;
racket;1;297568;327194;  0:06.747;  0:07.419;true;;
racket;2;329118;349127;  0:07.463;  0:07.916;true;;
racket;1;444181;462249;  0:10.072;  0:10.481;true;;
racket;2;522982;556803;  0:11.859;  0:12.625;true;;
racket;1;560978;588109;  0:12.720;  0:13.335;true;;
racket;2;602582;621038;  0:13.664;  0:14.082;true;;
racket;1;686163;704756;  0:15.559;  0:15.980;true;;
glass;2;738851;756754;  0:16.754;  0:17.159;false;;
racket;1;1485914;1503259;  0:33.694;  0:34.087;true;;
racket;2;1541780;1573788;  0:34.961;  0:35.686;true;;
racket;1;1677917;1703710;  0:38.048;  0:38.632;true;;
racket;2;1714038;1747360;  0:38.867;  0:39.622;true;;
racket;1;1781014;1817769;  0:40.385;  0:41.219;true;;
