Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;1;383846;418006;  0:08.704;  0:09.478;true;indoor;padel_128.mp4
racket;1;715858;751869;  0:16.232;  0:17.049;true;;
racket;2;773849;815460;  0:17.547;  0:18.491;true;;
racket;1;846147;909802;  0:19.187;  0:20.630;true;;
racket;1;1624952;1662436;  0:36.846;  0:37.696;true;;
racket;2;1672184;1704978;  0:37.918;  0:38.661;true;;
racket;1;1713165;1760786;  0:38.847;  0:39.927;true;;
racket;1;1918967;1941393;  0:43.514;  0:44.022;true;;
racket;2;1942477;1976488;  0:44.047;  0:44.818;true;;
racket;1;1994908;2026893;  0:45.236;  0:45.961;true;;
racket;2;2058719;2093328;  0:46.682;  0:47.467;true;;
racket;1;2124914;2168318;  0:48.184;  0:49.168;true;;
racket;2;2204505;2243933;  0:49.988;  0:50.882;true;;
racket;1;2281008;2305311;  0:51.723;  0:52.274;true;;
racket;2;2308591;2344289;  0:52.349;  0:53.158;true;;
racket;1;2354932;2391125;  0:53.399;  0:54.220;true;;
racket;2;2424574;2451570;  0:54.979;  0:55.591;true;;
glass;1;2452257;2482610;  0:55.606;  0:56.294;false;;
racket;1;2486446;2503910;  0:56.382;  0:56.778;true;;
racket;2;2506719;2526664;  0:56.841;  0:57.293;true;;
