Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;1;141321;174314;  0:03.204;  0:03.952;true;indoors;padel_38.mp4
racket;2;212738;243520;  0:04.824;  0:05.522;true;;
racket;1;251767;280961;  0:05.709;  0:06.371;true;;
racket;2;287532;306936;  0:06.520;  0:06.960;true;;
racket;1;333669;358689;  0:07.566;  0:08.133;true;;
glass;2;359371;375512;  0:08.149;  0:08.515;false;;
racket;2;413614;432541;  0:09.379;  0:09.808;true;;
racket;1;438286;465219;  0:09.938;  0:10.549;true;;
racket;2;469136;489935;  0:10.638;  0:11.109;true;;
racket;1;505228;517325;  0:11.456;  0:11.730;true;;
grid;2;574799;601219;  0:13.034;  0:13.633;false;;
racket;2;602386;622000;  0:13.659;  0:14.104;true;;
racket;1;633585;653532;  0:14.367;  0:14.819;true;;
racket;1;1363704;1388491;  0:30.923;  0:31.485;true;;
racket;2;1430348;1452491;  0:32.434;  0:32.936;true;;
racket;1;1491109;1526381;  0:33.812;  0:34.611;true;;
glass;2;1527116;1550048;  0:34.628;  0:35.148;false;;
racket;1;1598669;1615563;  0:36.251;  0:36.634;true;;
racket;2;1644162;1675784;  0:37.282;  0:37.999;true;;
grid;1;1687046;1747953;  0:38.255;  0:39.636;false;;
racket;2;1780008;1802914;  0:40.362;  0:40.882;true;;
racket;1;1811231;1823529;  0:41.071;  0:41.349;true;;
racket;2;1879101;1900974;  0:42.610;  0:43.106;true;;
racket;1;1920379;1943961;  0:43.546;  0:44.080;true;;
racket;2;1962317;1994173;  0:44.496;  0:45.219;true;;
racket;1;2014841;2040872;  0:45.688;  0:46.278;true;;
racket;2;2041958;2067512;  0:46.302;  0:46.882;true;;
racket;1;2522033;2541530;  0:57.188;  0:57.631;true;;
