Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
self_warm_up;1;75112;104303;  0:01.703;  0:02.365;false;indoors;padel_40.mp4
self_warm_up;1;125024;149011;  0:02.835;  0:03.378;false;;
self_warm_up;1;164411;181164;  0:03.728;  0:04.108;false;;
self_warm_up;1;291810;312349;  0:06.617;  0:07.082;false;;
self_warm_up;1;360204;388054;  0:08.167;  0:08.799;false;;
self_warm_up;1;412688;432930;  0:09.358;  0:09.817;false;;
self_warm_up;1;468863;496306;  0:10.631;  0:11.254;false;;
racket;1;630013;662865;  0:14.286;  0:15.030;true;;
racket;2;684804;716807;  0:15.528;  0:16.254;true;;
racket;1;724828;766928;  0:16.436;  0:17.390;true;;
racket;2;780009;807070;  0:17.687;  0:18.300;true;;
floor;1;809456;821730;  0:18.355;  0:18.633;false;;
grid;1;838421;935377;  0:19.011;  0:21.210;false;;
self_warm_up;1;1072556;1097915;  0:24.321;  0:24.896;false;;
self_warm_up;1;1124570;1141943;  0:25.500;  0:25.894;false;;
self_warm_up;1;1174427;1191872;  0:26.631;  0:27.026;false;;
racket;1;1284084;1323000;  0:29.117;  0:29.999;true;;
racket;2;1341963;1377914;  0:30.430;  0:31.245;true;;
racket;1;1379352;1410336;  0:31.277;  0:31.980;true;;
grid;2;1433162;1454193;  0:32.498;  0:32.974;false;;
racket;2;1454553;1476105;  0:32.983;  0:33.471;true;;
racket;1;1510183;1539647;  0:34.244;  0:34.912;true;;
floor;2;1545220;1550120;  0:35.039;  0:35.150;false;;
racket;2;1594694;1619568;  0:36.160;  0:36.724;true;;
floor;1;1706935;1721706;  0:38.706;  0:39.040;false;;
self_warm_up;1;1900004;1926700;  0:43.084;  0:43.689;false;;
self_warm_up;1;1972231;1993290;  0:44.721;  0:45.199;false;;
self_warm_up;1;2043859;2065380;  0:46.346;  0:46.834;false;;
racket;1;2156073;2202687;  0:48.890;  0:49.947;true;;
racket;2;2207558;2241589;  0:50.058;  0:50.829;true;;
racket;1;2245528;2273004;  0:50.919;  0:51.542;true;;
racket;2;2275692;2308415;  0:51.603;  0:52.345;true;;
floor;1;2335316;2349943;  0:52.955;  0:53.286;false;;
racket;1;2358588;2386213;  0:53.482;  0:54.109;true;;
racket;2;2431806;2480889;  0:55.143;  0:56.256;true;;
racket;1;2486138;2526744;  0:56.375;  0:57.295;true;;
