Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;407017;433476;  0:09.229;  0:09.829;true;indoor;padel_63.mp4
racket;1;484752;506801;  0:10.992;  0:11.492;true;;
racket;2;647639;669688;  0:14.685;  0:15.185;true;;
racket;1;705300;732984;  0:15.993;  0:16.620;true;;
racket;2;741013;763062;  0:16.803;  0:17.302;true;;
racket;1;801599;823648;  0:18.176;  0:18.676;true;;
racket;2;832772;854821;  0:18.883;  0:19.383;true;;
racket;2;1544257;1571844;  0:35.017;  0:35.642;true;;
racket;1;1590950;1618764;  0:36.075;  0:36.706;true;;
racket;2;1628907;1654357;  0:36.936;  0:37.513;true;;
racket;1;1724838;1746887;  0:39.111;  0:39.611;true;;
racket;2;1781060;1812220;  0:40.386;  0:41.093;true;;
glass;1;1813365;1835414;  0:41.119;  0:41.619;false;;
racket;2;2469017;2491066;  0:55.986;  0:56.486;true;;
racket;1;2518230;2540279;  0:57.102;  0:57.602;true;;
glass;2;2541824;2559563;  0:57.637;  0:58.039;false;;
