Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;102597;130289;  0:02.326;  0:02.954;true;indoor;padel_58.mp4
floor;1;194525;199367;  0:04.411;  0:04.520;false;;
racket;1;249788;271121;  0:05.664;  0:06.147;true;;
racket;2;272450;307811;  0:06.178;  0:06.979;true;;
racket;1;336240;365993;  0:07.624;  0:08.299;true;;
racket;2;393196;423631;  0:08.916;  0:09.606;true;;
racket;1;442720;467148;  0:10.039;  0:10.592;true;;
racket;2;511043;536590;  0:11.588;  0:12.167;true;;
racket;1;536962;561923;  0:12.176;  0:12.742;true;;
self_warm_up;1;991015;1056680;  0:22.472;0:23.961;false;;
self_warm_up;1;1115686;1223231;  0:25.299;  0:27.737;false;;
racket;1;1324438;1347172;  0:30.032;  0:30.548;true;;
racket;2;1384696;1418163;  0:31.399;  0:32.157;true;;
racket;1;1455877;1490362;  0:33.013;  0:33.795;true;;
racket;2;1505045;1534132;  0:34.128;  0:34.787;true;;
racket;1;1542832;1579861;  0:34.984;  0:35.824;true;;
racket;2;1618691;1645674;  0:36.705;  0:37.316;true;;
racket;1;1674424;1714060;  0:37.968;  0:38.867;true;;
racket;2;1741961;1754082;  0:39.500;  0:39.775;true;;
self_warm_up;1;2470923;2559563;  0:56.030;  0:58.040;false;;
