Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;1;8423;42968;  0:00.191;  0:00.974;true;indoor;padel_127.mp4
racket;2;48856;95476;  0:01.107;  0:02.164;;;
racket;1;123524;168062;  0:02.801;  0:03.810;;;
racket;2;392575;425482;  0:08.901;  0:09.648;;;
racket;1;749171;794289;  0:16.988;  0:18.011;;;
racket;2;796833;824408;  0:18.068;  0:18.694;;;
racket;1;825023;870642;  0:18.708;  0:19.742;;;
racket;2;871541;909563;  0:19.762;  0:20.624;;;
racket;1;942947;988063;  0:21.382;  0:22.405;;;
racket;2;993308;1016144;  0:22.524;  0:23.041;;;
racket;1;1017073;1049889;  0:23.062;  0:23.806;;;
racket;2;1050197;1083598;  0:23.814;  0:24.571;;;
racket;1;1087874;1132707;  0:24.668;  0:25.684;;;
racket;2;1133282;1187257;  0:25.698;  0:26.921;;;
racket;1;1199551;1250595;  0:27.200;  0:28.358;;;
racket;2;1279914;1301510;  0:29.023;  0:29.512;;;
racket;1;1304629;1379813;  0:29.583;  0:31.288;;;
racket;2;1392943;1401302;  0:31.586;  0:31.775;;;
glass;1;1497596;1514332;  0:33.959;  0:34.338;;;
racket;1;1532034;1593489;  0:34.740;  0:36.133;;;
racket;1;1978980;2005791;  0:44.874;  0:45.482;;;
racket;2;2033010;2050108;  0:46.100;  0:46.487;;;
racket;1;2082826;2147562;  0:47.229;  0:48.697;;;
racket;1;2517096;2559563;  0:57.077;  0:58.040;;;
