Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;1;158540;176953;  0:03.595;  0:04.012;true;indoors;padel_54.mp4
racket;2;693518;710563;  0:15.726;  0:16.112;true;;
racket;1;751244;772807;  0:17.035;  0:17.523;true;;
racket;2;783589;808796;  0:17.768;  0:18.340;true;;
racket;1;871151;895887;  0:19.754;  0:20.314;true;;
racket;2;926986;949373;  0:21.020;  0:21.527;true;;
racket;1;963276;979960;  0:21.843;  0:22.221;true;;
racket;2;999383;1014830;  0:22.661;  0:23.011;true;;
racket;1;1050242;1072225;  0:23.815;  0:24.313;true;;
racket;2;1086861;1110992;  0:24.645;  0:25.192;true;;
racket;1;1201637;1215256;  0:27.248;  0:27.556;true;;
racket;2;1470680;1499867;  0:33.348;  0:34.010;true;;
racket;1;1517084;1548419;  0:34.401;  0:35.111;true;;
racket;2;1558545;1590831;  0:35.341;  0:36.073;true;;
racket;1;1621557;1642224;  0:36.770;  0:37.238;true;;
racket;2;1652618;1682490;  0:37.474;  0:38.151;true;;
racket;1;1684929;1710127;  0:38.207;  0:38.778;true;;
grid;2;1719887;1805713;  0:38.999;  0:40.945;false;;
racket;1;2539278;2559563;  0:57.580;  0:58.040;true;;
