Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;;69413;103178;  0:01.574;  0:02.339;true;indoor;padel_126.mp4
racket;;115712;160290;  0:02.623;  0:03.634;true;;
racket;;179752;225206;  0:04.076;  0:05.106;true;;
racket;;242243;274406;  0:05.493;  0:06.222;true;;
racket;;275890;310989;  0:06.256;  0:07.051;true;;
racket;;336512;391040;  0:07.630;  0:08.867;true;;
racket;;394122;428597;  0:08.937;  0:09.718;true;;
racket;;450865;489838;  0:10.223;  0:11.107;true;;
racket;;603068;644652;  0:13.675;  0:14.617;true;;
racket;;685109;734466;  0:15.535;  0:16.654;true;;
racket;;747539;775456;  0:16.951;  0:17.584;true;;
racket;;781615;828126;  0:17.723;  0:18.778;true;;
racket;;868990;906883;  0:19.705;  0:20.564;true;;
racket;;907404;941534;  0:20.576;  0:21.349;true;;
racket;;941976;978461;  0:21.360;  0:22.187;true;;
racket;;1007592;1047762;  0:22.847;  0:23.758;true;;
racket;;1065191;1094351;  0:24.154;  0:24.815;true;;
racket;;1177036;1210082;  0:26.690;  0:27.439;true;;
