Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;84363;109412;  0:01.913;  0:02.481;true;indoors;padel_37.mp4
racket;1;138386;170346;  0:03.138;  0:03.862;true;;
racket;2;179267;207402;  0:04.065;  0:04.703;true;;
racket;1;209761;236412;  0:04.756;  0:05.360;true;;
racket;2;278095;308876;  0:06.306;  0:07.004;true;;
grid;1;335734;371574;  0:07.613;  0:08.425;false;;
racket;1;1844879;1867547;  0:41.834;  0:42.348;true;;
glass;2;1912516;1934386;  0:43.367;  0:43.863;false;;
racket;1;2173954;2196974;  0:49.296;  0:49.818;true;;
racket;2;2233974;2252408;  0:50.657;  0:51.075;true;;
