Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;50840;65070;  0:01.152;  0:01.475;true;indoor;padel_137.mp4
racket;1;97858;117672;  0:02.219;  0:02.668;true;;
racket;2;128654;145120;  0:02.917;  0:03.290;true;;
racket;1;198847;211779;  0:04.509;  0:04.802;true;;
racket;2;230307;262498;  0:05.222;  0:05.952;true;;
racket;1;299042;310457;  0:06.781;  0:07.039;true;;
racket;2;381833;406150;  0:08.658;  0:09.209;true;;
racket;1;426006;445062;  0:09.660;  0:10.092;true;;
racket;2;453868;471817;  0:10.291;  0:10.698;true;;
racket;1;515573;525661;  0:11.691;  0:11.919;true;;
racket;2;667105;694821;  0:15.127;  0:15.755;true;;
glass;1;697618;705793;  0:15.819;  0:16.004;false;;
racket;2;1043598;1058751;  0:23.664;  0:24.007;true;;
racket;1;1117274;1119829;  0:25.335;  0:25.392;true;;
racket;2;1244408;1258951;  0:28.217;  0:28.547;true;;
racket;1;1270962;1299758;  0:28.820;  0:29.472;true;;
racket;2;1302647;1310121;  0:29.538;  0:29.707;true;;
racket;1;1347917;1372534;  0:30.565;  0:31.123;true;;
racket;2;1383173;1406332;  0:31.364;  0:31.889;true;;
racket;1;1407937;1433062;  0:31.926;  0:32.495;true;;
racket;2;1437692;1462085;  0:32.600;  0:33.153;true;;
racket;1;1471617;1492602;  0:33.370;  0:33.845;true;;
racket;2;1506833;1534133;  0:34.168;  0:34.787;true;;
racket;1;1564183;1588796;  0:35.469;  0:36.027;true;;
racket;2;1592606;1617193;  0:36.113;  0:36.671;true;;
racket;1;1641049;1667780;  0:37.212;  0:37.818;true;;
racket;2;1672535;1699799;  0:37.925;  0:38.544;true;;
racket;1;1711389;1744019;  0:38.807;  0:39.546;true;;
racket;1;1831394;1850862;  0:41.528;  0:41.969;true;;
