Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;36714;48451;  0:00.832;  0:01.098;true;indoor;padel_2.mp4
glass;1;71150;83250;  0:01.613;  0:01.887;false;;
racket;1;87980;98150;  0:01.995;  0:02.225;true;;
racket;2;120192;127381;  0:02.725;  0:02.888;true;;
racket;1;161494;174111;  0:03.662;  0:03.948;true;;
racket;2;194880;206678;  0:04.419;  0:04.686;true;;
racket;1;260587;279944;  0:05.909;  0:06.347;true;;
racket;2;377155;385820;  0:08.552;  0:08.748;true;;
racket;1;410086;415848;  0:09.299;  0:09.429;true;;
racket;2;485715;510962;  0:11.013;  0:11.586;true;;
racket;1;523908;532002;  0:11.880;  0:12.063;true;;
racket;2;564917;582041;  0:12.809;  0:13.198;true;;
racket;1;645315;653436;  0:14.633;  0:14.817;true;;
racket;2;672861;686725;  0:15.257;  0:15.571;true;;
racket;1;728664;737372;  0:16.523;  0:16.720;true;;
racket;2;798224;818352;  0:18.100;  0:18.556;true;;
racket;2;953133;961573;  0:21.613;  0:21.804;true;;
racket;1;1038752;1053628;  0:23.554;  0:23.891;true;;
racket;2;1090152;1099484;  0:24.720;  0:24.931;true;;
racket;1;1177700;1192187;  0:26.705;  0:27.033;true;;
racket;2;1244899;1248196;  0:28.229;  0:28.303;true;;
racket;1;1381172;1392528;  0:31.319;  0:31.576;true;;
racket;2;1402248;1420456;  0:31.797;  0:32.209;true;;
racket;1;1436000;1445328;  0:32.562;  0:32.773;true;;
racket;2;1502399;1518349;  0:34.068;  0:34.429;true;;
racket;1;1705854;1721142;  0:38.681;  0:39.028;true;;
