Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;732993;750632;  0:16.621;  0:17.021;true;indoor;padel_61.mp4
net;2;751575;773624;  0:17.042;  0:17.542;false;;
racket;2;978491;1000540;  0:22.188;  0:22.687;true;;
racket;1;1036118;1058167;  0:23.494;  0:23.994;true;;
racket;2;1095043;1129526;  0:24.830;  0:25.612;true;;
racket;1;1143458;1165507;  0:25.928;  0:26.428;true;;
racket;2;1186302;1208340;  0:26.900;  0:27.400;true;;
racket;1;1232454;1254503;  0:27.946;  0:28.446;true;;
grid;2;1304628;1385936;  0:29.583;  0:31.427;false;;
racket;2;1628527;1650576;  0:36.928;  0:37.428;true;;
racket;2;1676235;1698284;  0:38.009;  0:38.509;true;;
racket;2;1813476;1835525;  0:41.121;  0:41.621;true;;
racket;1;1866593;1901772;  0:42.326;  0:43.124;true;;
racket;2;1907320;1940374;  0:43.249;  0:43.999;true;;
racket;1;1997599;2019648;  0:45.297;  0:45.797;true;;
racket;2;2128566;2150615;  0:48.266;  0:48.766;true;;
racket;1;2188158;2223421;  0:49.618;  0:50.417;true;;
racket;2;2293124;2315173;  0:51.998;  0:52.498;true;;
racket;1;2325644;2352495;  0:52.735;  0:53.344;true;;
racket;2;2386210;2406793;  0:54.109;  0:54.575;true;;
net;2;2407136;2420808;  0:54.583;  0:54.893;false;;
