Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;1;27282;95066;  0:00.618;  0:02.155;true;indoor;padel_125.mp4
racket;2;100592;138957;  0:02.281;  0:03.150;true;;
racket;1;141637;196200;  0:03.211;  0:04.448;true;;
racket;2;200964;243680;  0:04.557;  0:05.525;true;;
racket;1;245693;292438;  0:05.571;  0:06.631;true;;
racket;2;294235;344705;  0:06.672;  0:07.816;true;;
racket;1;356176;424222;  0:08.054;  0:09.619;true;;
racket;2;506268;553070;  0:11.480;  0:12.541;true;;
racket;1;568588;601712;  0:12.893;  0:13.644;true;;
racket;1;754992;783075;  0:17.120;  0:17.756;true;;
racket;2;1140339;1185278;  0:25.858;  0:26.877;true;;
racket;1;1197580;1248775;  0:27.156;  0:28.316;true;;
racket;2;1348710;1378251;  0:30.583;  0:31.252;true;;
racket;1;1472411;1497933;  0:33.388;  0:33.966;true;;
net;1;1499135;1524333;  0:33.994;  0:34.565;false;;
racket;1;1686076;1713601;  0:38.233;  0:38.857;true;;
racket;1;2108642;2155892;  0:47.815;  0:48.886;true;;
racket;2;2158733;2202174;  0:48.950;  0:49.935;true;;
glass;1;2218098;2242746;  0:50.297;  0:50.855;false;;
racket;1;2245684;2278611;  0:50.922;  0:51.669;true;;
racket;2;2314897;2379042;  0:52.492;  0:53.911;true;;
racket;-;2644935;2672911;  0:59.975;  1:00.610;true;;
racket;2;2941205;2982052;  1:06.694;  1:07.620;true;;
racket;1;2996463;3031747;  1:07.947;  1:08.747;true;;
