Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;40528;53239;  0:00.919;  0:01.207;true;indoor;padel_6.mp4
racket;1;70949;85630;  0:01.608;  0:01.941;true;;
racket;2;103635;116165;  0:02.350;  0:02.634;true;;
racket;1;129371;143954;  0:02.933;  0:03.264;true;;
racket;2;159403;181557;  0:03.614;  0:04.116;true;;
racket;1;193599;206826;  0:04.390;  0:04.612;true;;
glass;2;229490;247525;  0:05.203;  0:05.612;;;
racket;2;248680;270606;  0:05.639;  0:06.136;;;
racket;1;274360;292066;  0:06.221;  0:06.622;;;
glass;2;298645;325113;  0:06.772;  0:07.372;;;
racket;1;387193;405384;  0:08.779;  0:09.192;;;
glass;2;413129;430417;  0:09.368;  0:09.760;;;
racket;2;554855;572885;  0:12.581;  0:12.990;;;
racket;1;584457;594033;  0:13.253;  0:13.470;;;
racket;2;614927;625353;  0:13.943;  0:14.180;;;
racket;1;656605;670151;  0:14.889;  0:15.196;;;
racket;2;720684;748333;  0:16.342;  0:16.968;;;
glass;1;756095;785837;  0:17.145;  0:17.819;;;
