Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;1;49422;80997;  0:01.120;  0:01.836;true;indoors;padel_51.mp4
racket;2;143898;159984;  0:03.262;  0:03.627;true;;
racket;1;171964;190345;  0:03.899;  0:04.316;true;;
racket;2;261732;270739;  0:05.934;  0:06.139;true;;
racket;1;338115;381210;  0:07.667;  0:08.644;true;;
racket;2;423509;434229;  0:09.603;  0:09.846;true;;
grid;2;448718;475009;  0:10.175;  0:10.771;false;;
racket;2;1064797;1087998;  0:24.145;  0:24.671;true;;
grid;1;1106513;1129798;  0:25.090;  0:25.619;false;;
racket;1;1130307;1147395;  0:25.630;  0:26.100;true;;
racket;2;1700761;1719321;  0:38.566;  0:39.096;true;;
racket;1;1754734;1772624;  0:39.789;  0:40.384;true;;
racket;2;1819963;1847619;  0:41.269;  0:42.060;true;;
racket;1;1908721;1925712;  0:43.281;  0:43.666;true;;
racket;2;1977532;2003712;  0:44.841;  0:45.435;true;;
racket;1;2069721;2092572;  0:46.932;  0:47.450;true;;
racket;2;2171881;2198958;  0:49.249;  0:49.862;true;;
racket;1;2210200;2221072;  0:50.117;  0:50.364;true;;
racket;2;2279353;2301750;  0:51.686;  0:52.193;true;;
racket;1;2367109;2378057;  0:53.675;  0:53.924;true;;
racket;2;2501881;2520354;  0:56.731;  0:57.150;true;;
