f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66
c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,class
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037538695614784956,0.005974063649773598,0.006623008754104376,0.00577773991972208,0.00406676298007369,0.0035114448983222246,0.004518244415521622,0.004400456324219704,0.0034201638773083687,0.004371051210910082,0.005486366804689169,0.005155378486961126,0.004880461376160383,0.005886582192033529,0.005784374196082354,0.00457493681460619,0.003914890810847282,0.0036360439844429493,0.0037271096371114254,0.00395972328260541,0.004725465085357428,0.00487201614305377,0.0,0.0,0.7273874878883362,0.9140864610671997,1.592553973197937,2.32657527923584,0.731979489326477,0.9436361193656921,0.9109766483306885,0.7943211793899536,0.7495278120040894,0.7959936857223511,0.7981860637664795,1.0327770709991455,1.0643360614776611,0.8031795024871826,0.9481624364852905,0.9234634637832642,1.554785966873169,2.6684682369232178,1.5814677476882935,0.9115040898323059,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005974063649773598,0.006623008754104376,0.00577773991972208,0.00406676298007369,0.0035114448983222246,0.004518244415521622,0.004400456324219704,0.0034201638773083687,0.004371051210910082,0.005486366804689169,0.005155378486961126,0.004880461376160383,0.005886582192033529,0.005784374196082354,0.00457493681460619,0.003914890810847282,0.0036360439844429493,0.0037271096371114254,0.00395972328260541,0.004725465085357428,0.00487201614305377,0.00413357513025403,0.0,0.7273874878883362,0.9140864610671997,1.592553973197937,2.32657527923584,0.731979489326477,0.9436361193656921,0.9109766483306885,0.7943211793899536,0.7495278120040894,0.7959936857223511,0.7981860637664795,1.0327770709991455,1.0643360614776611,0.8031795024871826,0.9481624364852905,0.9234634637832642,1.554785966873169,2.6684682369232178,1.5814677476882935,0.9115040898323059,1.531980037689209,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006623008754104376,0.00577773991972208,0.00406676298007369,0.0035114448983222246,0.004518244415521622,0.004400456324219704,0.0034201638773083687,0.004371051210910082,0.005486366804689169,0.005155378486961126,0.004880461376160383,0.005886582192033529,0.005784374196082354,0.00457493681460619,0.003914890810847282,0.0036360439844429493,0.0037271096371114254,0.00395972328260541,0.004725465085357428,0.00487201614305377,0.00413357513025403,0.0037910165265202522,0.7273874878883362,0.9140864610671997,1.592553973197937,2.32657527923584,0.731979489326477,0.9436361193656921,0.9109766483306885,0.7943211793899536,0.7495278120040894,0.7959936857223511,0.7981860637664795,1.0327770709991455,1.0643360614776611,0.8031795024871826,0.9481624364852905,0.9234634637832642,1.554785966873169,2.6684682369232178,1.5814677476882935,0.9115040898323059,1.531980037689209,0.7507777214050293,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00577773991972208,0.00406676298007369,0.0035114448983222246,0.004518244415521622,0.004400456324219704,0.0034201638773083687,0.004371051210910082,0.005486366804689169,0.005155378486961126,0.004880461376160383,0.005886582192033529,0.005784374196082354,0.00457493681460619,0.003914890810847282,0.0036360439844429493,0.0037271096371114254,0.00395972328260541,0.004725465085357428,0.00487201614305377,0.00413357513025403,0.0037910165265202522,0.004500036593526602,0.9140864610671997,1.592553973197937,2.32657527923584,0.731979489326477,0.9436361193656921,0.9109766483306885,0.7943211793899536,0.7495278120040894,0.7959936857223511,0.7981860637664795,1.0327770709991455,1.0643360614776611,0.8031795024871826,0.9481624364852905,0.9234634637832642,1.554785966873169,2.6684682369232178,1.5814677476882935,0.9115040898323059,1.531980037689209,0.7507777214050293,0.5952482223510742,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00406676298007369,0.0035114448983222246,0.004518244415521622,0.004400456324219704,0.0034201638773083687,0.004371051210910082,0.005486366804689169,0.005155378486961126,0.004880461376160383,0.005886582192033529,0.005784374196082354,0.00457493681460619,0.003914890810847282,0.0036360439844429493,0.0037271096371114254,0.00395972328260541,0.004725465085357428,0.00487201614305377,0.00413357513025403,0.0037910165265202522,0.004500036593526602,0.0051465886645019054,1.592553973197937,2.32657527923584,0.731979489326477,0.9436361193656921,0.9109766483306885,0.7943211793899536,0.7495278120040894,0.7959936857223511,0.7981860637664795,1.0327770709991455,1.0643360614776611,0.8031795024871826,0.9481624364852905,0.9234634637832642,1.554785966873169,2.6684682369232178,1.5814677476882935,0.9115040898323059,1.531980037689209,0.7507777214050293,0.5952482223510742,1.7096121311187744,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035114448983222246,0.004518244415521622,0.004400456324219704,0.0034201638773083687,0.004371051210910082,0.005486366804689169,0.005155378486961126,0.004880461376160383,0.005886582192033529,0.005784374196082354,0.00457493681460619,0.003914890810847282,0.0036360439844429493,0.0037271096371114254,0.00395972328260541,0.004725465085357428,0.00487201614305377,0.00413357513025403,0.0037910165265202522,0.004500036593526602,0.0051465886645019054,0.0045901876874268055,2.32657527923584,0.731979489326477,0.9436361193656921,0.9109766483306885,0.7943211793899536,0.7495278120040894,0.7959936857223511,0.7981860637664795,1.0327770709991455,1.0643360614776611,0.8031795024871826,0.9481624364852905,0.9234634637832642,1.554785966873169,2.6684682369232178,1.5814677476882935,0.9115040898323059,1.531980037689209,0.7507777214050293,0.5952482223510742,1.7096121311187744,0.93536376953125,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004518244415521622,0.004400456324219704,0.0034201638773083687,0.004371051210910082,0.005486366804689169,0.005155378486961126,0.004880461376160383,0.005886582192033529,0.005784374196082354,0.00457493681460619,0.003914890810847282,0.0036360439844429493,0.0037271096371114254,0.00395972328260541,0.004725465085357428,0.00487201614305377,0.00413357513025403,0.0037910165265202522,0.004500036593526602,0.0051465886645019054,0.0045901876874268055,0.004238577093929052,0.731979489326477,0.9436361193656921,0.9109766483306885,0.7943211793899536,0.7495278120040894,0.7959936857223511,0.7981860637664795,1.0327770709991455,1.0643360614776611,0.8031795024871826,0.9481624364852905,0.9234634637832642,1.554785966873169,2.6684682369232178,1.5814677476882935,0.9115040898323059,1.531980037689209,0.7507777214050293,0.5952482223510742,1.7096121311187744,0.93536376953125,1.1815015077590942,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004400456324219704,0.0034201638773083687,0.004371051210910082,0.005486366804689169,0.005155378486961126,0.004880461376160383,0.005886582192033529,0.005784374196082354,0.00457493681460619,0.003914890810847282,0.0036360439844429493,0.0037271096371114254,0.00395972328260541,0.004725465085357428,0.00487201614305377,0.00413357513025403,0.0037910165265202522,0.004500036593526602,0.0051465886645019054,0.0045901876874268055,0.004238577093929052,0.004727235529571772,0.9436361193656921,0.9109766483306885,0.7943211793899536,0.7495278120040894,0.7959936857223511,0.7981860637664795,1.0327770709991455,1.0643360614776611,0.8031795024871826,0.9481624364852905,0.9234634637832642,1.554785966873169,2.6684682369232178,1.5814677476882935,0.9115040898323059,1.531980037689209,0.7507777214050293,0.5952482223510742,1.7096121311187744,0.93536376953125,1.1815015077590942,0.6963241696357727,0.0
